bus_number,from_location,to_location,route
1,State Bank,Kunjathbail,State Bank – Car Street – Mannagudda – Ladyhill – Chilimbi – Urva Stores – Kavoor – MCF colony – Kunjathbail.
1A,State Bank,Thannir Bavi,State Bank – Lalbagh – Urva Stores – Kulur – Thannir Bavi
1B,State Bank,Kodikal,State Bank – Car Street – Mannagudda – Ladyhill – Chilimbi – Urva Stores – Kodikal.
1C,State Bank,Kodikal,State Bank – Hampankatta – Shedigudde – Lal Bagh – Lady Hill – Kodikal Cross – Kodikal
2,State Bank,Mukka,State Bank – Lalbagh – Ashoknagar – Baikampady – Surathkal – Mukka.
2A,State Bank,Sasihitlu,State Bank – Lalbagh – Ashoknagar – Baikampady – Surathkal – Mukka – Sasihitlu.
2B,Bengare,Bajpe,Bengare – Tannirbavi – Kulur – Panamboor – Jokatta – Kaana – Port Temple – Bajpe
2C,State Bank,Jokatte,State Bank – Lalbagh – Ashoknagar – Baikampady – Baikampady Industrial Estate – Jokatte.
2D,State Bank,Parkodi,State Bank – Lalbagh – Ashoknagar – Baikampady – Baikampady Industrial Estate – Jokatte – Parkodi.
2E,Kankanady,Bajpe,Kankanady – Jyothi – Lalbagh – Ashoknagar – Baikampady – Baikampady Industrial Estate – Jokatte – Kalavar – Bajpe.
2F,Kankanady,Bajpe,Kankanady – Jyothi – Lalbagh – Ashoknagar – Baikampady – Baikampady Industrial Estate – Jokatte – Kalavar – Bajpe.
3,State Bank,Moodushedde,State Bank – Falnir – Bendoorwell – Mallikatte – Kadri – Bikkarnakatta – Kulshekar – Kudupu – Vamanjoor – Moodushedde.
3A,State Bank,Moodushedde,State Bank – Jyothi – Bendoorwell – Mallikatte – Kadri – Bikkarnakatta – Kulshekar – Kudupu – Vamanjoor – Moodushedde.
3B,Mangaladevi,Moodushedde,Mangaladevi – Kankanady – Mallikatte – Kadri – Bikkarnakatta – Kulshekar – Kudupu – Vamanjoor – Moodushedde.
3C,Mangaldevi,Moodushedde,Mangaldevi – Valencia – Nantoor – Kudpu Temple – Mangala Jyoti – Moodushedde
3D,State Bank,Ulaibettu,State Bank – Jyothi – Bunts Hostel – Kadri – Vamanjoor – Ulaibettu.
4,State Bank,Kulshekar Chowki,State Bank – Falnir – Kankanady – Bendoorwell – Mallikatte – Kadri – Bikkarnakatta – Kulshekar – Kulshekar Chowki.
4A,State Bank,Merlapadavu,State Bank – Falnir – Kankanady – Bendoorwell – Mallikatte – Kadri – Nanthur – Kulshekar – Kaikamba – Neermarga – Merlapadavu.
4C,State Bank,Neermarga,State Bank – Falnir – Kankanady – Bendoorwell – Mallikatte – Kadri – Nanthur – Kulshekar – Kaikamba – Neermarga.
5,State Bank,Morgan Gate,State Bank – Jyothi – Bendoorwell – Kankanady – Nandigudda – Marnamikatta – Morgan Gate.
6A,State Bank,Shaktinagar,State Bank – Jyothi – Bendoorwell – Mallikatte – Kadri – Bikkarnakatta – Kulshekar – Shaktinagar.
6B,State Bank,Shaktinagar,State Bank – Falnir – Kankanady – Bendoorwell – Mallikatte – Kadri – Bikkarnakatta – Kulshekar – Shaktinagar.
6C,State Bank,Shaktinagar,State Bank – Jyothi – Bunts Hostel – Mallikatte – Kadri – Bikkarnakatta – Kulshekar – Shaktinagar.
7,State Bank,Urva Stores,State Bank – Car Street – Alake – Mannagudda – Ladyhill – Chilimbi – Urva Stores.
9A,State Bank,J.M. Road,State Bank – Pandeshwar – Jeppu – Morgan Gate – Jeppupatna – Ekkur – Mugeru – Bajal – Bajal Pakkaladka – J.M. Road.
9B,State Bank,J.M. Road,State Bank – Jyothi – Pumpwell – Ekkur – Mugeru – Bajal – Bajal Pakkaladka – J.M. Road.
10A,State Bank,Adyar Launch Jetty,State Bank – Balmatta – Jyothi – Kankanady – Pumpwell – Nagori – Padil – Kannurbettu – Adyar – Adyar Launch Jetty.
10B,State Bank,Adyar Launch Jetty,State Bank – Jyothi – Balmatta – Kankanady – Pumpwell – Nagori – Padil – Kannurbettu – Adyar – Adyar Launch Jetty.
11A,State Bank,Kannurbettu,State Bank – Falnir – Kankanady – Nagori – Garodi – Padil – Kannurbettu.
11B,State Bank,Jalligudde,State Bank – Falnir – Kankanady – Nagori – Garodi – Padil – Jalligudde.
